"ID","HASH","NAME_USA","NAME_EUR","NAME_JAP","GENRE","DEVELOPER","YEAR","PLAYERS"
"111","0x6b18d902","Wings of Wor","Wings of Wor","Gynoug","?","?","1991","1"
"111","0x2ace4045","Wings of Wor","Wings of Wor","Gynoug","?","?","1991","1"
"112","0x5a1c000b","Stargate","Stargate","Stargate","?","?","1994","1"
"113","0xb5fd2ef9","ToeJam & Earl","ToeJam & Earl","Toejam And Earl","?","?","1992","2"
"113","0xc1831678","ToeJam & Earl","ToeJam & Earl","Toejam And Earl","?","?","1992","2"
"114","0x3baab692","Super Hang-On","Super Hang-On","Super Hang-On","?","?","1989","1"
"114","0xcf508baa","Super Hang-On","Super Hang-On","Super Hang-On","?","?","1989","1"
"114","0xb857bb3c","Super Hang-On","Super Hang-On","Super Hang-On","?","?","1989","1"
"115","0xb179f104","Sonic the Hedgehog Spinball","Sonic the Hedgehog Spinball","Sonic the Hedgehog Spinball","?","?","1993","4"
"115","0x5fc90a75","Sonic the Hedgehog Spinball","Sonic the Hedgehog Spinball","Sonic the Hedgehog Spinball","?","?","1993","4"
"116","0xa815fdd5","The Terminator","The Terminator","Terminator, The","?","?","1992","1"
"116","0xed6fa304","The Terminator","The Terminator","Terminator, The","?","?","1992","1"
